intent_(short intent label),question_(sample user question for that intent),hardcode_response_(A hand-written answer you would give for this intent),context_passage_(A text passage containing the answer_(cite the source if taken from the web)),passage_source_(URL or "original" if you wrote it yourself)
star_size,what is the diameter of the biggest star?,
star_size,how much larger than a white dwarf is a red giant?,
star_color,what colors can stars be?,
star_color,does a star's temperature affect its color?,
stellar_lifecycle,how long do stars last in the titauri stage?,
stellar_lifecycle,do all stars die in the same way?,
the_sun,when will the sun explode?,
the_sun,where is the sun in its lifecycle?,
stellar_interior,how do stars not collapse under their own weight?,
stellar_interior,where in the star is  light made?,
